account number,date,amount,cr/db,
,,,,
12349,09-03-2021,3000,"credited,added",NA
,,,,
12349,09-03-2021,-1000,"credited,added",NA
,,,,
12349,09-03-2021,1,transferred,12345
,,,,
12345,09-03-2021,1,recieved,12345
,,,,
12349,09-03-2021,10,"debited,withdrawn",NA
,,,,
12349,09-03-2021,-10,"debited,withdrawn",NA
,,,,
12349,09-03-2021,45,transferred,12345
,,,,
12345,09-03-2021,45,recieved,12345
12350,2021-03-27,1000,"credited,added",NA
12350,2021-03-27,1000,"credited,added",NA
12350,2021-03-28,1000,"credited,added",NA
12350,2021-03-28,500,transferred,12349
12349,2021-03-28,500,recieved,12349
12350,2021-03-28,800,"debited, given as loan",khush raho bank
12351,2021-07-09,2500,"credited,added",NA
2,2021-12-29,1222,"credited,added",NA
2,2021-12-29,500,transferred,1
1,2021-12-29,500,recieved,1
2,2021-12-29,1,"debited,withdrawn",NA
2,2021-12-29,1000,"credited,added",NA
2,2021-12-29,300,transferred,1
1,2021-12-29,300,recieved,1
2,2021-12-29,1,"debited,withdrawn",NA
2,2021-12-29,1000,"credited,added",NA
2,2021-12-29,1,"credited,added",NA
5,2021-12-30,1000,"credited,added",NA
3,2021-12-30,1000,"credited,added",NA
3,2021-12-30,1000,"credited,added",NA
4,2022-01-03,100,"credited,added",NA
4,2022-01-03,2,transferred,2
2,2022-01-03,2,recieved,2
4,2022-01-03,10,"debited,withdrawn",NA
4,2022-01-03,100,"credited,added",NA
4,2022-01-03,1000,"credited,added",NA
4,2022-01-03,1000,"credited,added",NA
4,2022-01-03,10,transferred,2
2,2022-01-03,10,recieved,2
4,2022-01-03,10,"debited,withdrawn",NA
4,2022-01-03,1000,"credited,added",NA
5,2022-01-03,1000,"credited,added",NA
5,2022-01-03,100,transferred,3
3,2022-01-03,100,recieved,3
5,2022-01-03,20,"debited,withdrawn",NA
5,2022-01-03,1000,"credited,added",NA
